timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1774365852.226,428000,3879000,280,1920000,dumpsys_battery
1774365853.417,428000,3879000,280,1920000,dumpsys_battery
1774365854.585,428000,3879000,280,1920000,dumpsys_battery
1774365855.742,233000,3864000,280,1920000,dumpsys_battery
1774365856.920,233000,3864000,280,1920000,dumpsys_battery
1774365858.074,233000,3864000,280,1920000,dumpsys_battery
1774365859.269,233000,3864000,280,1920000,dumpsys_battery
1774365860.431,233000,3864000,280,1920000,dumpsys_battery
1774365861.622,233000,3864000,280,1920000,dumpsys_battery
1774365862.824,233000,3864000,280,1920000,dumpsys_battery
1774365864.030,233000,3864000,280,1920000,dumpsys_battery
1774365865.223,-487000,3800000,280,1925000,dumpsys_battery
1774365866.419,-487000,3800000,280,1925000,dumpsys_battery
1774365867.621,-487000,3800000,280,1925000,dumpsys_battery
1774365868.831,-487000,3800000,280,1925000,dumpsys_battery
1774365870.039,-487000,3800000,280,1925000,dumpsys_battery
1774365871.243,-487000,3800000,280,1925000,dumpsys_battery
1774365872.439,-487000,3800000,280,1925000,dumpsys_battery
1774365873.640,-487000,3800000,280,1925000,dumpsys_battery
1774365874.835,-487000,3800000,280,1925000,dumpsys_battery
1774365876.029,300000,3868000,280,1925000,dumpsys_battery
1774365877.228,300000,3868000,280,1925000,dumpsys_battery
1774365878.422,300000,3868000,280,1925000,dumpsys_battery
