timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1774365695.413,237000,3862000,279,1905000,dumpsys_battery
1774365696.579,237000,3862000,279,1905000,dumpsys_battery
1774365697.719,237000,3862000,279,1905000,dumpsys_battery
1774365698.898,237000,3862000,279,1905000,dumpsys_battery
1774365700.063,237000,3862000,279,1905000,dumpsys_battery
1774365701.202,237000,3862000,279,1905000,dumpsys_battery
1774365702.339,237000,3862000,279,1905000,dumpsys_battery
1774365703.527,237000,3862000,279,1905000,dumpsys_battery
1774365704.708,322000,3865000,279,1905000,dumpsys_battery
1774365705.889,322000,3865000,279,1905000,dumpsys_battery
1774365707.077,322000,3865000,279,1905000,dumpsys_battery
1774365708.256,322000,3865000,279,1905000,dumpsys_battery
1774365709.443,322000,3865000,279,1905000,dumpsys_battery
1774365710.619,322000,3865000,279,1905000,dumpsys_battery
1774365711.784,322000,3865000,279,1905000,dumpsys_battery
1774365712.962,322000,3865000,279,1905000,dumpsys_battery
1774365714.147,234000,3847000,279,1905000,dumpsys_battery
1774365715.318,234000,3847000,279,1905000,dumpsys_battery
1774365716.479,234000,3847000,279,1905000,dumpsys_battery
1774365717.659,234000,3847000,279,1905000,dumpsys_battery
1774365718.839,234000,3847000,279,1905000,dumpsys_battery
1774365720.022,234000,3847000,279,1905000,dumpsys_battery
