timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1774366013.547,369000,3881000,281,1935000,dumpsys_battery
1774366014.778,369000,3881000,281,1935000,dumpsys_battery
1774366015.980,369000,3881000,281,1935000,dumpsys_battery
1774366017.163,242000,3859000,281,1940000,dumpsys_battery
1774366018.344,242000,3859000,281,1940000,dumpsys_battery
1774366019.501,242000,3859000,281,1940000,dumpsys_battery
1774366020.705,242000,3859000,281,1940000,dumpsys_battery
1774366021.867,242000,3859000,281,1940000,dumpsys_battery
1774366023.064,242000,3859000,281,1940000,dumpsys_battery
1774366024.277,242000,3859000,281,1940000,dumpsys_battery
1774366025.511,242000,3859000,281,1940000,dumpsys_battery
1774366026.753,-709000,3800000,282,1940000,dumpsys_battery
1774366027.982,-709000,3800000,282,1940000,dumpsys_battery
1774366029.235,-709000,3800000,282,1940000,dumpsys_battery
1774366030.470,-709000,3800000,282,1940000,dumpsys_battery
1774366031.689,-709000,3800000,282,1940000,dumpsys_battery
1774366032.901,-709000,3800000,282,1940000,dumpsys_battery
1774366034.107,-709000,3800000,282,1940000,dumpsys_battery
1774366035.319,-709000,3800000,282,1940000,dumpsys_battery
1774366036.529,286000,3872000,281,1940000,dumpsys_battery
1774366037.736,286000,3872000,281,1940000,dumpsys_battery
1774366038.935,286000,3872000,281,1940000,dumpsys_battery
1774366040.144,286000,3872000,281,1940000,dumpsys_battery
