metric,n_ssr,n_csr,median_ssr,iqr_ssr,median_csr,iqr_csr,u_stat,p_value,effect_r,effect_magnitude,direction,scenario
Total energy,30,30,0.0,0.0,0.0,0.0,450.0,1.0,0.0,negligible,CSR lower,dynamic
Average power,30,30,0.0,0.0,0.0,0.0,450.0,1.0,0.0,negligible,CSR lower,dynamic
LCP — cold load,30,30,3258.0,18.0,3260.0,15.0,400.0,0.46185,0.111,small,SSR lower,dynamic
FCP — cold load,30,30,3258.0,18.0,3260.0,15.0,400.0,0.46185,0.111,small,SSR lower,dynamic
TTFB — cold load,30,30,32.05,54.73,27.8,86.6,456.0,0.93519,-0.013,negligible,CSR lower,dynamic
Total Blocking Time (all pages),30,30,0.0,0.0,0.0,0.0,450.0,1.0,0.0,negligible,CSR lower,dynamic
CLS — cold load,30,30,0.0,0.0,0.0,0.0,450.0,1.0,0.0,negligible,CSR lower,dynamic
Transfer size (all pages),30,30,0.29,0.0,0.29,0.0,450.5,1.0,-0.001,negligible,CSR lower,dynamic
JS heap peak,30,30,9.5,0.0,9.5,0.0,450.0,1.0,0.0,negligible,CSR lower,dynamic
Total energy,30,30,0.0,0.0,0.0,0.0,436.0,0.59719,0.031,negligible,CSR lower,massive
Average power,30,30,0.0,0.0,0.0,0.0,436.0,0.59719,0.031,negligible,CSR lower,massive
LCP — cold load,30,30,3256.0,26.0,3260.0,16.0,419.5,0.65554,0.068,negligible,SSR lower,massive
FCP — cold load,30,30,3256.0,26.0,3260.0,16.0,419.5,0.65554,0.068,negligible,SSR lower,massive
TTFB — cold load,30,30,24.55,25.6,31.6,74.83,417.0,0.63085,0.073,negligible,SSR lower,massive
Total Blocking Time (all pages),30,30,0.0,0.0,0.0,0.0,450.0,1.0,0.0,negligible,CSR lower,massive
CLS — cold load,30,30,0.0,0.0,0.0,0.0,450.0,1.0,0.0,negligible,CSR lower,massive
Transfer size (all pages),30,30,0.29,0.0,0.29,0.0,450.5,1.0,-0.001,negligible,CSR lower,massive
JS heap peak,30,30,9.5,0.0,9.5,0.0,450.0,1.0,0.0,negligible,CSR lower,massive
Total energy,30,30,0.0,0.0,0.0,0.0,419.5,0.30505,0.068,negligible,CSR lower,static
Average power,30,30,0.0,0.0,0.0,0.0,419.5,0.30505,0.068,negligible,CSR lower,static
LCP — cold load,30,30,3256.0,16.0,3262.0,23.0,345.0,0.12042,0.233,small,SSR lower,static
FCP — cold load,30,30,3256.0,16.0,3262.0,23.0,345.0,0.12042,0.233,small,SSR lower,static
TTFB — cold load,30,30,21.85,31.75,20.3,36.75,465.0,0.83025,-0.033,negligible,CSR lower,static
Total Blocking Time (all pages),30,30,0.0,0.0,0.0,0.0,450.0,1.0,0.0,negligible,CSR lower,static
CLS — cold load,30,30,0.0,0.0,0.0,0.0,450.0,1.0,0.0,negligible,CSR lower,static
Transfer size (all pages),30,30,0.29,0.0,0.29,0.0,450.5,1.0,-0.001,negligible,CSR lower,static
JS heap peak,30,30,9.5,0.0,9.5,0.0,450.0,1.0,0.0,negligible,CSR lower,static
