metric,n_ssr,n_csr,median_ssr,iqr_ssr,median_csr,iqr_csr,u_stat,p_value,effect_r,effect_magnitude,direction,scenario
Total energy,10,10,6256.24,1517.99,7786.94,2499.65,27.0,0.08897,0.46,medium,SSR lower,dynamic
Average power,10,10,799.5,266.78,885.25,292.82,49.0,0.96985,0.02,negligible,SSR lower,dynamic
LCP — cold load,10,10,3284.0,22.0,3266.0,11.0,79.0,0.03077,-0.58,large,CSR lower,dynamic
FCP — cold load,10,10,3284.0,22.0,3266.0,11.0,78.0,0.03713,-0.56,large,CSR lower,dynamic
TTFB — cold load,10,10,32.15,33.08,24.8,107.4,61.0,0.42736,-0.22,small,CSR lower,dynamic
Total Blocking Time (all pages),10,10,0.0,0.0,0.0,0.0,50.0,1.0,0.0,negligible,CSR lower,dynamic
CLS — cold load,10,10,0.0,0.0,0.0,0.0,50.0,1.0,0.0,negligible,CSR lower,dynamic
Transfer size (all pages),10,10,7.12,0.0,3.9,0.0,100.0,2e-05,-1.0,large,CSR lower,dynamic
JS heap peak,10,10,9.5,0.0,9.5,0.0,50.0,1.0,0.0,negligible,CSR lower,dynamic
Total energy,10,10,6088.67,2757.1,6497.3,2097.33,36.0,0.30749,0.28,small,SSR lower,massive
Average power,10,10,814.35,321.33,749.4,273.28,57.0,0.62318,-0.14,small,CSR lower,massive
LCP — cold load,10,10,3290.0,16.0,3272.0,8.0,81.0,0.01914,-0.62,large,CSR lower,massive
FCP — cold load,10,10,3290.0,16.0,3272.0,8.0,81.0,0.01914,-0.62,large,CSR lower,massive
TTFB — cold load,10,10,26.5,6.3,20.25,10.35,70.0,0.14047,-0.4,medium,CSR lower,massive
Total Blocking Time (all pages),10,10,0.0,0.0,0.0,0.0,50.0,1.0,0.0,negligible,CSR lower,massive
CLS — cold load,10,10,0.0,0.0,0.0,0.0,50.0,1.0,0.0,negligible,CSR lower,massive
Transfer size (all pages),10,10,7.12,0.0,3.91,0.0,100.0,2e-05,-1.0,large,CSR lower,massive
JS heap peak,10,10,9.5,0.0,9.5,0.0,50.0,1.0,0.0,negligible,CSR lower,massive
Total energy,10,10,6087.84,1985.81,6754.34,4636.28,25.0,0.06402,0.5,large,SSR lower,static
Average power,10,10,795.4,212.42,789.1,616.95,46.0,0.79134,0.08,negligible,CSR lower,static
LCP — cold load,10,10,3298.0,7.0,3276.0,20.0,87.0,0.00547,-0.74,large,CSR lower,static
FCP — cold load,10,10,3298.0,7.0,3274.0,29.0,88.0,0.00433,-0.76,large,CSR lower,static
TTFB — cold load,10,10,28.05,16.4,27.15,83.75,53.0,0.85011,-0.06,negligible,CSR lower,static
Total Blocking Time (all pages),10,10,0.0,0.0,0.0,0.0,50.0,1.0,0.0,negligible,CSR lower,static
CLS — cold load,10,10,0.0,0.0,0.0,0.0,50.0,1.0,0.0,negligible,CSR lower,static
Transfer size (all pages),10,10,7.12,0.0,3.9,0.0,100.0,2e-05,-1.0,large,CSR lower,static
JS heap peak,10,10,9.5,0.0,9.5,0.0,50.0,1.0,0.0,negligible,CSR lower,static
