run,condition,scenario,trace_path,battery_csv_path,energy_total_mj,battery_energy_valid,battery_current_nonzero_samples,battery_current_nonzero_ratio,avg_current_ma,avg_voltage_v,duration_s,sample_count,avg_power_mw,avg_cpu_freq_mhz,cpu_big_core_pct,cpu_freq_residency_ghz_s,cpu_energy_proxy_score,cpu_energy_proxy_per_s,peak_memory_rss_kb,frame_janks,energy_method,parse_error
10,csr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_10_csr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_10_csr_massive.battery.csv,6039.89,True,16,1.0,186.0,4.054,8.0,16,754.0,,,,,,,,adb_dumpsys_battery_polling,
11,csr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_11_csr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_11_csr_dynamic.battery.csv,9279.18,True,18,1.0,256.0,4.054,8.9,18,1037.8,,,,,,,,adb_dumpsys_battery_polling,
12,ssr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_12_ssr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_12_ssr_massive.battery.csv,5338.41,True,15,1.0,185.0,4.05,7.1,15,749.2,,,,,,,,adb_dumpsys_battery_polling,
13,ssr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_13_ssr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_13_ssr_dynamic.battery.csv,6007.24,True,15,1.0,195.0,4.054,7.6,15,790.5,,,,,,,,adb_dumpsys_battery_polling,
14,ssr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_14_ssr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_14_ssr_static.battery.csv,7818.2,True,15,1.0,265.0,4.047,7.3,15,1072.5,,,,,,,,adb_dumpsys_battery_polling,
15,csr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_15_csr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_15_csr_dynamic.battery.csv,6870.42,True,17,1.0,200.0,4.05,8.5,17,810.0,,,,,,,,adb_dumpsys_battery_polling,
16,csr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_16_csr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_16_csr_static.battery.csv,6745.51,True,18,1.0,196.22,4.047,8.5,18,790.6,,,,,,,,adb_dumpsys_battery_polling,
17,ssr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_17_ssr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_17_ssr_static.battery.csv,5611.26,True,15,1.0,180.0,4.048,7.7,15,728.6,,,,,,,,adb_dumpsys_battery_polling,
18,ssr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_18_ssr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_18_ssr_massive.battery.csv,8458.52,True,15,1.0,268.0,4.05,7.8,15,1085.4,,,,,,,,adb_dumpsys_battery_polling,
19,ssr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_19_ssr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_19_ssr_dynamic.battery.csv,7020.45,True,15,1.0,235.33,4.046,7.3,15,960.0,,,,,,,,adb_dumpsys_battery_polling,
