timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775033809.851,-265000,4047000,252,4420000,dumpsys_battery
1775033810.400,-265000,4047000,252,4420000,dumpsys_battery
1775033810.927,-265000,4047000,252,4420000,dumpsys_battery
1775033811.363,-265000,4047000,252,4420000,dumpsys_battery
1775033811.812,-265000,4047000,252,4420000,dumpsys_battery
1775033812.261,-265000,4047000,252,4420000,dumpsys_battery
1775033812.823,-265000,4047000,252,4420000,dumpsys_battery
1775033813.287,-265000,4047000,252,4420000,dumpsys_battery
1775033813.881,-265000,4047000,252,4420000,dumpsys_battery
1775033814.414,-265000,4047000,252,4420000,dumpsys_battery
1775033814.969,-265000,4047000,252,4420000,dumpsys_battery
1775033815.587,-265000,4047000,252,4420000,dumpsys_battery
1775033816.051,-265000,4047000,252,4420000,dumpsys_battery
1775033816.589,-265000,4047000,252,4420000,dumpsys_battery
1775033817.141,-265000,4047000,252,4420000,dumpsys_battery
