timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775033522.425,-182000,4058000,249,4460000,dumpsys_battery
1775033522.958,-182000,4058000,249,4460000,dumpsys_battery
1775033523.532,-182000,4058000,249,4460000,dumpsys_battery
1775033524.040,-182000,4058000,249,4460000,dumpsys_battery
1775033524.501,-182000,4058000,249,4460000,dumpsys_battery
1775033524.940,-182000,4058000,249,4460000,dumpsys_battery
1775033525.409,-182000,4058000,249,4460000,dumpsys_battery
1775033525.786,-182000,4058000,249,4460000,dumpsys_battery
1775033526.246,-182000,4058000,249,4460000,dumpsys_battery
1775033526.847,-182000,4058000,249,4460000,dumpsys_battery
1775033527.274,-182000,4058000,249,4460000,dumpsys_battery
1775033527.836,-182000,4058000,249,4460000,dumpsys_battery
1775033528.388,-182000,4058000,249,4460000,dumpsys_battery
1775033528.964,-182000,4058000,249,4460000,dumpsys_battery
1775033529.432,-182000,4058000,249,4460000,dumpsys_battery
1775033529.967,-182000,4058000,249,4460000,dumpsys_battery
1775033530.535,-182000,4058000,249,4460000,dumpsys_battery
1775033531.004,-182000,4058000,249,4460000,dumpsys_battery
1775033531.529,-182000,4058000,249,4460000,dumpsys_battery
