timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775036275.563,-212000,4006000,261,4140000,dumpsys_battery
1775036276.072,-212000,4006000,261,4140000,dumpsys_battery
1775036276.515,-212000,4006000,261,4140000,dumpsys_battery
1775036277.015,-212000,4006000,261,4140000,dumpsys_battery
1775036277.502,-212000,4006000,261,4140000,dumpsys_battery
1775036277.902,-212000,4006000,261,4140000,dumpsys_battery
1775036278.334,-212000,4006000,261,4140000,dumpsys_battery
1775036278.851,-212000,4006000,261,4140000,dumpsys_battery
1775036279.354,-212000,4006000,261,4140000,dumpsys_battery
1775036279.935,-212000,4006000,261,4140000,dumpsys_battery
1775036280.555,-212000,4006000,261,4140000,dumpsys_battery
1775036281.113,-212000,4006000,261,4140000,dumpsys_battery
1775036281.592,-212000,4006000,261,4140000,dumpsys_battery
1775036282.074,-212000,4006000,261,4140000,dumpsys_battery
1775036282.539,-212000,4006000,261,4140000,dumpsys_battery
