timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775036606.099,-237000,3995000,260,4105000,dumpsys_battery
1775036606.638,-237000,3995000,260,4105000,dumpsys_battery
1775036607.147,-237000,3995000,260,4105000,dumpsys_battery
1775036607.655,-237000,3995000,260,4105000,dumpsys_battery
1775036608.112,-237000,3995000,260,4105000,dumpsys_battery
1775036608.538,-237000,3995000,260,4105000,dumpsys_battery
1775036608.933,-237000,3995000,260,4105000,dumpsys_battery
1775036609.369,-237000,3995000,260,4105000,dumpsys_battery
1775036609.920,-237000,3995000,260,4105000,dumpsys_battery
1775036610.474,-237000,3995000,260,4105000,dumpsys_battery
1775036611.091,-237000,3995000,260,4105000,dumpsys_battery
1775036611.695,-237000,3995000,260,4105000,dumpsys_battery
1775036612.135,-237000,3995000,260,4105000,dumpsys_battery
1775036612.582,-237000,3995000,260,4105000,dumpsys_battery
1775036613.093,-237000,3995000,260,4105000,dumpsys_battery
1775036613.594,-237000,3995000,260,4105000,dumpsys_battery
1775036614.176,-237000,3995000,260,4105000,dumpsys_battery
